sentence,difficulty,encoded_diff,tokens,tokens_no_stop,token_count,nb_verbs,nb_nouns,nb_adj,tfidf_score
"Perpétuel clandestin, c'est muni d'un faux titre de séjour, photocopie de la carte de résident d'un copain-complice, qu'il avait ensuite sillonné l'Hexagone, au bon vouloir d'employeurs peu scrupuleux.",C1,4,"['Perpétuel', 'clandestin', ',', ""c'"", 'est', 'muni', ""d'"", 'un', 'faux', 'titre', 'de', 'séjour', ',', 'photocopie', 'de', 'la', 'carte', 'de', 'résident', ""d'"", 'un', 'copain', '-', 'complice', ',', ""qu'"", 'il', 'avait', 'ensuite', 'sillonné', ""l'"", 'Hexagone', ',', 'au', 'bon', 'vouloir', ""d'"", 'employeurs', 'peu', 'scrupuleux', '.']","['Perpétuel', 'clandestin', ',', 'muni', 'faux', 'titre', 'séjour', ',', 'photocopie', 'carte', 'résident', 'copain', '-', 'complice', ',', 'ensuite', 'sillonné', 'Hexagone', ',', 'bon', 'vouloir', 'employeurs', 'scrupuleux', '.']",24,3,10,2,4.9260543227157125
"Le mariage mixte apparaît comme le lieu privilégié ou les cultures s'affrontent, dialoguent et se fondent.",B2,3,"['Le', 'mariage', 'mixte', 'apparaît', 'comme', 'le', 'lieu', 'privilégié', 'ou', 'les', 'cultures', ""s'"", 'affrontent', ',', 'dialoguent', 'et', 'se', 'fondent', '.']","['mariage', 'mixte', 'apparaît', 'lieu', 'privilégié', 'cultures', 'affrontent', ',', 'dialoguent', 'fondent', '.']",11,4,3,0,3.6093856196870187
"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche",B2,3,"['Assis', 'en', 'terrasse', 'dans', 'le', 'quartier', 'touristique', 'du', 'Vieux', 'Lyon', ',', 'James', 'sirote', 'une', 'limonade', 'bien', 'fraîche']","['Assis', 'terrasse', 'quartier', 'touristique', 'Vieux', 'Lyon', ',', 'James', 'sirote', 'limonade', 'bien', 'fraîche']",12,2,3,1,3.6959117064553193
"La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que ce découpage spatial n'est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure n'est pas vécue comme une limite.",C2,5,"['La', 'chronologie', 'antique', 'ne', 'prend', 'sens', 'que', 'sur', 'un', 'large', 'pourtour', 'de', 'la', 'Méditerranée', ',', 'de', 'même', 'que', 'ce', 'découpage', 'spatial', ""n'"", 'est', 'pertinent', 'comme', 'entité', 'géographique', 'que', 'durant', 'cette', 'période', 'pendant', 'laquelle', 'la', 'mer', 'intérieure', ""n'"", 'est', 'pas', 'vécue', 'comme', 'une', 'limite', '.']","['chronologie', 'antique', 'prend', 'sens', 'large', 'pourtour', 'Méditerranée', ',', 'découpage', 'spatial', 'pertinent', 'entité', 'géographique', 'période', 'mer', 'intérieure', 'vécue', 'limite', '.']",19,2,8,5,5.462750513801877
"En voici un des moins obscurs : ""Plus nous devenons maîtres de la biosphère, plus nous en devenons dépendants ; plus nous la dégradons, plus nous dégradons nos vies5.",C2,5,"['En', 'voici', 'un', 'des', 'moins', 'obscurs', ':', '""', 'Plus', 'nous', 'devenons', 'maîtres', 'de', 'la', 'biosphère', ',', 'plus', 'nous', 'en', 'devenons', 'dépendants', ';', 'plus', 'nous', 'la', 'dégradons', ',', 'plus', 'nous', 'dégradons', 'nos', 'vies5', '.']","['obscurs', ':', '""', 'devenons', 'maîtres', 'biosphère', ',', 'devenons', 'dépendants', ';', 'dégradons', ',', 'dégradons', 'vies5', '.']",15,4,4,5,3.5637443149923067
"C'est le début de troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre les fameuses ""Journées de septembre"" amplifiés le refus de Guillaume 1er de considérer les revendications des insurgés",B2,3,"[""C'"", 'est', 'le', 'début', 'de', 'troubles', 'qui', 'se', 'poursuivent', 'et', ""s'"", 'étendent', 'au', 'reste', 'du', 'territoire', 'tout', 'au', 'long', 'du', 'mois', 'de', 'septembre', 'les', 'fameuses', '""', 'Journées', 'de', 'septembre', '""', 'amplifiés', 'le', 'refus', 'de', 'Guillaume', '1er', 'de', 'considérer', 'les', 'revendications', 'des', 'insurgés']","['début', 'troubles', 'poursuivent', 'étendent', 'territoire', 'long', 'mois', 'septembre', 'fameuses', '""', 'Journées', 'septembre', '""', 'amplifiés', 'refus', 'Guillaume', '1er', 'considérer', 'revendications', 'insurgés']",20,4,13,1,5.00543101499068
Les filles s'étaient fait des colliers en fruits rouges qui ressemblaient à des perles.,B2,3,"['Les', 'filles', ""s'"", 'étaient', 'fait', 'des', 'colliers', 'en', 'fruits', 'rouges', 'qui', 'ressemblaient', 'à', 'des', 'perles', '.']","['filles', 'colliers', 'fruits', 'rouges', 'ressemblaient', 'perles', '.']",7,2,4,0,3.2273953339075376
Je reste avec toi.,A1,0,"['Je', 'reste', 'avec', 'toi', '.']",['.'],1,1,0,0,1.9148408906037293
Un revenu devient donc une nécessité pour que l'Homme puisse accéder à la satisfaction d'avoir comblé ses désirs,C2,5,"['Un', 'revenu', 'devient', 'donc', 'une', 'nécessité', 'pour', 'que', ""l'"", 'Homme', 'puisse', 'accéder', 'à', 'la', 'satisfaction', ""d'"", 'avoir', 'comblé', 'ses', 'désirs']","['revenu', 'devient', 'nécessité', 'Homme', 'puisse', 'accéder', 'satisfaction', 'comblé', 'désirs']",9,4,5,1,3.8273320053019573
Tu mangeas les petits fruits dès que tu les eus cueillis,C2,5,"['Tu', 'mangeas', 'les', 'petits', 'fruits', 'dès', 'que', 'tu', 'les', 'eus', 'cueillis']","['mangeas', 'petits', 'fruits', 'eus', 'cueillis']",5,1,3,1,2.876636120049011
"Ben, on est tous débordés quoi.",A1,0,"['Ben', ',', 'on', 'est', 'tous', 'débordés', 'quoi', '.']","['Ben', ',', 'débordés', '.']",4,1,0,0,2.275716075170437
"Un petit garçon : Ben trois dans un nid et dans l'autre, y'en a deux",A2,1,"['Un', 'petit', 'garçon', ':', 'Ben', 'trois', 'dans', 'un', 'nid', 'et', 'dans', ""l'"", 'autre', ',', ""y'"", 'en', 'a', 'deux']","['petit', 'garçon', ':', 'Ben', 'nid', ',', ""y'""]",7,1,3,0,3.1352432865771305
J'ai été en forme toute la matinée.,A2,1,"[""J'"", 'ai', 'été', 'en', 'forme', 'toute', 'la', 'matinée', '.']","['été', 'forme', 'matinée', '.']",4,0,2,0,2.4589638260344713
"L'ordinateur peut aussi répondre à des interruptions qui lui permettent d'exécuter des programmes de réponses spécifiques à chacune, puis de reprendre l'exécution séquentielle du programme interrompu.",C2,5,"[""L'"", 'ordinateur', 'peut', 'aussi', 'répondre', 'à', 'des', 'interruptions', 'qui', 'lui', 'permettent', ""d'"", 'exécuter', 'des', 'programmes', 'de', 'réponses', 'spécifiques', 'à', 'chacune', ',', 'puis', 'de', 'reprendre', ""l'"", 'exécution', 'séquentielle', 'du', 'programme', 'interrompu', '.']","['ordinateur', 'répondre', 'interruptions', 'permettent', 'exécuter', 'programmes', 'réponses', ',', 'reprendre', 'exécution', 'séquentielle', 'programme', 'interrompu', '.']",14,6,6,1,4.487997935842869
Il a plu et j'ai attendu l'autobus.,A2,1,"['Il', 'a', 'plu', 'et', ""j'"", 'ai', 'attendu', ""l'"", 'autobus', '.']","['plu', 'autobus', '.']",3,2,1,0,2.226287181243219
"Dans d'autres cas il s'agit de limites relatives, basées sur un taux de croissance démographique de référence, valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité.",C2,5,"['Dans', ""d'"", 'autres', 'cas', 'il', ""s'"", 'agit', 'de', 'limites', 'relatives', ',', 'basées', 'sur', 'un', 'taux', 'de', 'croissance', 'démographique', 'de', 'référence', ',', 'valables', 'là', 'aussi', 'uniquement', 'hors', 'centres', 'ou', 'pondérées', 'en', 'fonction', 'du', 'degré', 'de', 'centralité', '.']","['cas', 'agit', 'limites', 'relatives', ',', 'basées', 'taux', 'croissance', 'démographique', 'référence', ',', 'valables', 'uniquement', 'centres', 'pondérées', 'fonction', 'degré', 'centralité', '.']",19,2,9,3,5.006589561755697
C'est bien !,A1,0,"[""C'"", 'est', 'bien', '!']","['bien', '!']",2,0,0,1,1.3715941365415252
"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective.",B2,3,"['En', '2007', ',', 'moins', 'de', '8', '%', 'des', 'déchets', 'des', 'entreprises', 'ont', 'fait', ""l'"", 'objet', ""d'"", 'une', 'collecte', 'sélective', '.']","['2007', ',', '8', '%', 'déchets', 'entreprises', 'objet', 'collecte', 'sélective', '.']",10,1,5,1,3.3489063827974372
Les médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront par rapport aux dons de sang.,C1,4,"['Les', 'médecins', 'des', 'donneurs', 'vous', 'conseilleront', 'volontiers', 'dans', 'un', 'tel', 'cas', 'vous', 'renseigneront', 'par', 'rapport', 'aux', 'dons', 'de', 'sang', '.']","['médecins', 'donneurs', 'conseilleront', 'volontiers', 'cas', 'renseigneront', 'rapport', 'dons', 'sang', '.']",10,2,7,0,3.8888342190450382
Le plus inquiétant c'est que la Scandinavie avait déjà battu des records de chaleur pendant l'été 2018,A2,1,"['Le', 'plus', 'inquiétant', ""c'"", 'est', 'que', 'la', 'Scandinavie', 'avait', 'déjà', 'battu', 'des', 'records', 'de', 'chaleur', 'pendant', ""l'"", 'été', '2018']","['inquiétant', 'Scandinavie', 'battu', 'records', 'chaleur', 'été', '2018']",7,2,3,2,3.683339535973118
J'aime le ski.,A1,0,"[""J'"", 'aime', 'le', 'ski', '.']","['aime', 'ski', '.']",3,1,1,0,1.5827231564282185
"""Malheureusement, il semble désormais évident qu'il n'y a pas de voie pour obtenir une confirmation"", a écrit Neera Tanden à Joe Biden en retirant sa candidature",B2,3,"['""', 'Malheureusement', ',', 'il', 'semble', 'désormais', 'évident', ""qu'"", 'il', ""n'"", 'y', 'a', 'pas', 'de', 'voie', 'pour', 'obtenir', 'une', 'confirmation', '""', ',', 'a', 'écrit', 'Neera', 'Tanden', 'à', 'Joe', 'Biden', 'en', 'retirant', 'sa', 'candidature']","['""', 'Malheureusement', ',', 'évident', 'voie', 'obtenir', 'confirmation', '""', ',', 'écrit', 'Neera', 'Tanden', 'Joe', 'Biden', 'retirant', 'candidature']",16,5,3,4,4.401544249856999
Pourquoi l'oisillon se retrouve-t-il seul dans la forêt ?,A1,0,"['Pourquoi', ""l'"", 'oisillon', 'se', 'retrouve', '-t', '-il', 'seul', 'dans', 'la', 'forêt', '?']","['oisillon', 'retrouve', '-t', '-il', 'forêt', '?']",6,1,2,1,2.7519538151486094
Elle est née quel jour ?,A1,0,"['Elle', 'est', 'née', 'quel', 'jour', '?']","['née', 'jour', '?']",3,1,1,0,2.099520309421091
"Il existe effectivement, des êtres humains qui possèdent une quantité de pouvoir importante et qui contraignent l'humanité à travailler en créant un cercle vicieux qui fait du travail une nécessité pour accéder à ses propres désirs",C2,5,"['Il', 'existe', 'effectivement', ',', 'des', 'êtres', 'humains', 'qui', 'possèdent', 'une', 'quantité', 'de', 'pouvoir', 'importante', 'et', 'qui', 'contraignent', ""l'"", 'humanité', 'à', 'travailler', 'en', 'créant', 'un', 'cercle', 'vicieux', 'qui', 'fait', 'du', 'travail', 'une', 'nécessité', 'pour', 'accéder', 'à', 'ses', 'propres', 'désirs']","['existe', 'effectivement', ',', 'êtres', 'humains', 'possèdent', 'quantité', 'pouvoir', 'importante', 'contraignent', 'humanité', 'travailler', 'créant', 'cercle', 'vicieux', 'travail', 'nécessité', 'accéder', 'propres', 'désirs']",20,8,7,1,5.188158536598836
Une bouchée de : cette expression fait référence à la quantité d'un aliment qu'on met dans la bouche en une fois.,B1,2,"['Une', 'bouchée', 'de', ':', 'cette', 'expression', 'fait', 'référence', 'à', 'la', 'quantité', ""d'"", 'un', 'aliment', ""qu'"", 'on', 'met', 'dans', 'la', 'bouche', 'en', 'une', 'fois', '.']","['bouchée', ':', 'expression', 'référence', 'quantité', 'aliment', 'met', 'bouche', 'fois', '.']",10,2,7,0,3.906703689385921
"Si tu respectait les indications plus sérieusement, tu trouverais plus facilement ton chemin à travers ces ruelles.",B2,3,"['Si', 'tu', 'respectait', 'les', 'indications', 'plus', 'sérieusement', ',', 'tu', 'trouverais', 'plus', 'facilement', 'ton', 'chemin', 'à', 'travers', 'ces', 'ruelles', '.']","['respectait', 'indications', 'sérieusement', ',', 'trouverais', 'facilement', 'chemin', 'travers', 'ruelles', '.']",10,2,4,4,3.594323489739875
"Aussitôt que Julie eut découvert la vérité, elle fut furieuse",C2,5,"['Aussitôt', 'que', 'Julie', 'eut', 'découvert', 'la', 'vérité', ',', 'elle', 'fut', 'furieuse']","['Aussitôt', 'Julie', 'eut', 'découvert', 'vérité', ',', 'fut', 'furieuse']",8,1,1,1,2.9721956717863445
Pile au moment où on a le plus besoin de réconfort,A2,1,"['Pile', 'au', 'moment', 'où', 'on', 'a', 'le', 'plus', 'besoin', 'de', 'réconfort']","['Pile', 'moment', 'besoin', 'réconfort']",4,1,4,1,2.8556487601441036
"Le train, en son temps, était également craint. Brigitte Munier Les robots suscitent l'enthousiasme des Occidentaux, mais aussi leur angoisse: au lieu de les concevoir comme de simples outils ou, à la manière japonaise, tels d'amicaux auxiliaires, ils craignent des compétiteurs menaçant leur avenir.",C1,4,"['Le', 'train', ',', 'en', 'son', 'temps', ',', 'était', 'également', 'craint', '.', 'Brigitte', 'Munier', 'Les', 'robots', 'suscitent', ""l'"", 'enthousiasme', 'des', 'Occidentaux', ',', 'mais', 'aussi', 'leur', 'angoisse', ':', 'au', 'lieu', 'de', 'les', 'concevoir', 'comme', 'de', 'simples', 'outils', 'ou', ',', 'à', 'la', 'manière', 'japonaise', ',', 'tels', ""d'"", 'amicaux', 'auxiliaires', ',', 'ils', 'craignent', 'des', 'compétiteurs', 'menaçant', 'leur', 'avenir', '.']","['train', ',', 'temps', ',', 'craint', '.', 'Brigitte', 'Munier', 'robots', 'suscitent', 'enthousiasme', 'Occidentaux', ',', 'angoisse', ':', 'lieu', 'concevoir', 'simples', 'outils', ',', 'manière', 'japonaise', ',', 'amicaux', 'auxiliaires', ',', 'craignent', 'compétiteurs', 'menaçant', 'avenir', '.']",31,5,12,2,5.907063428344289
Je viens d'emménager dans ma nouvelle maison.,A2,1,"['Je', 'viens', ""d'"", 'emménager', 'dans', 'ma', 'nouvelle', 'maison', '.']","['viens', 'emménager', 'nouvelle', 'maison', '.']",5,2,1,0,2.4878693868042285
"Et cette année, ça défile !",B1,2,"['Et', 'cette', 'année', ',', 'ça', 'défile', '!']","['année', ',', 'défile', '!']",4,1,1,0,2.054238136515759
